cod_loc	cava_min	loc_monte	valle 	comune	distr_pref	provincia	regione	dipartimento	stato	nazione	note	cod_mindat
Cigana_01	Cigana claim (Joc?o claim),  	Galiléia	Doce Valley				Southeast region		Minas Gerais	Brasile		
Cignana_01		Lago di Cignana	Valtournanche	Valtournanche		Aosta	Valle d'Aosta			Italia		189744
Cilaos_01	Radier du Ouaki, Cirque de Cilaos, Piton des Neiges									Ile de la Reunion		68118
Cina_01										Cina		
Cinquevalli_01	Min. di Cinquevalli		Valsugana	Roncegno		Trento	Trentino - Alto Adige			Italia		2169
Civillina_01	Miniera S. Anna	Monte Civillina		Recoaro Terme		Vicenza	Veneto			Italia		55908
Civillina_02		Monte Civillina		Recoaro Terme		Vicenza	Veneto			Italia		
Civrari_01		Monte Civrari	Val di Susa	Condove		Torino	Piemonte			Italia		188092
Codera_01			Val Piana, Val Codera	Novate Mezzola		Sondrio	Lombardia			Italia		126940
Coli_01		S. Agostino	Val Trebbia	Coli		Piacenza	Emilia Romagna			Italia		204048
Coli_02		Monte dei Tre Abati		Coli		Piacenza	Emilia Romagna			Italia		30963
Colle_Fabbri_01		Colle Fabbri		Spoleto		Perugia	Umbria			Italia		203762
Collioure_01		Pegmatite field, Collioure, Céret, Pyrénées-Orientales, Occitanie								Francia		257588
Collioux_01	Lower Collioux Mine, Saint-Luc, Anniviers, Sierre, Valais									Svizzera		10231
Colmè_01		Bric Colmè, I Cardin, San Giacomo		Roburent		Cuneo	Piemonte			Italia		29830
Colorado_01									Colorado	U.S.A.		
Compet_01	Ricerca di Monte Fronte (Compet)		Valsugana	Levico Terme		Trento	Trentino - Alto Adige			Italia		126067
Conca_Cannas_01	Cava Conca Cannas (cava Fradelloni)			Masullas		Oristano	Sardegna			Italia		204203
Condorcet_01		Condorcet,  Nyons,  Drôme						Rhône-Alpes		Francia		12783
Condove_01			Val di Susa	Condove		Torino	Piemonte			Italia		146137
Consuelo_01	Consuelo Mine, Chinchón (near San Martín de la Vega), Madrid									Spagna		10316
